Test Path,Expected Result,Minisat Speed (ns),Simulated Result,Simulated Cycles,Cycles Busy,Cycles Idle,Num Nodes,Topology,Node Bandwidth
tests/big/sat/uf100-430/uf100-0530.cnf,true,885375,true,54421,54421,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0256.cnf,true,787584,true,527511,527511,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0281.cnf,true,867625,true,1081272,1081272,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0295.cnf,true,389792,true,167869,167869,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0726.cnf,true,339333,true,8687,8687,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0732.cnf,true,1022417,true,517869,517869,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0901.cnf,true,2400083,true,481171,481171,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0915.cnf,true,1235000,true,328838,328838,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0929.cnf,true,430667,true,49735,49735,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0108.cnf,true,1279000,true,14660,14660,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0652.cnf,true,217500,true,332723,332723,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0134.cnf,true,580917,true,23795,23795,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0120.cnf,true,497375,true,14775,14775,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0646.cnf,true,4131416,true,125032,125032,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0875.cnf,true,638250,true,211509,211509,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0861.cnf,true,217166,true,68576,68576,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0849.cnf,true,1054666,true,9834,9834,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0691.cnf,true,2221250,true,74611,74611,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0685.cnf,true,128875,true,662823,662823,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-017.cnf,true,1320833,true,3955365,3955365,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0478.cnf,true,1249208,true,335018,335018,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0336.cnf,true,1084625,true,77040,77040,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0450.cnf,true,245667,true,1609628,1609628,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0444.cnf,true,2050708,true,573051,573051,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0322.cnf,true,590458,true,262820,262820,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0493.cnf,true,574291,true,786010,786010,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0487.cnf,true,140708,true,39934,39934,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0486.cnf,true,582958,true,8261,8261,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0492.cnf,true,1437542,true,867139,867139,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0445.cnf,true,385000,true,56517,56517,0,1,"Torus(1, 1)",1000000
tests/big/sat/uf100-430/uf100-0323.cnf,true,184292,true,329174,329174,0,1,"Torus(1, 1)",1000000
